t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,trust_weight,is_spoofed
1790075531.9904842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075532.088622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075532.1902118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075532.2892928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075532.390171,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075532.4924278,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075532.588721,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075532.6885405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075532.7919626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075532.8930511,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075532.991202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075533.088806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075533.1905568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075533.290926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075533.3905523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075533.4900022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075533.591799,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075533.689829,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075533.7897506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075533.890997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075533.990898,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075534.0910304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075534.1933434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075534.29209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075534.3930645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075534.4896717,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075534.5950158,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075534.690274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075534.7927585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075534.8922737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075534.992749,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075535.09164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075535.1907718,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075535.2895844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075535.392502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075535.4909644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075535.5916855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075535.6885033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075535.7915192,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075535.893714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075535.9876606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075536.0923798,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075536.1939344,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075536.291275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075536.3914003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075536.4893413,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075536.5908318,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075536.6912649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075536.7914343,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075536.8922713,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075536.9926338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075537.0914176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075537.190861,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075537.291737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075537.391695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075537.491495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075537.5908575,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075537.690832,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075537.7893157,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075537.8907492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075537.988618,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075538.0872166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790075538.1894865,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075538.291503,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075538.3941815,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075538.4918337,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075538.5918095,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075538.6933515,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075538.79376,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075538.8940723,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075538.9911797,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075539.0934813,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075539.1903088,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075539.292612,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075539.396376,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075539.4920423,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075539.5890348,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075539.691742,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075539.7930732,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075539.8930156,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075539.9944348,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075540.093622,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075540.1943622,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075540.2910674,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075540.390025,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075540.4887488,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075540.5881755,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075540.6927829,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075540.791967,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075540.8915648,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075540.9907866,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075541.091348,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075541.190055,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075541.289763,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075541.3888712,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075541.492374,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075541.591732,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075542.089275,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075542.09282,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075542.1981957,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075542.297356,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075542.3966925,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075542.495681,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075542.595293,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075542.6971917,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075542.7968378,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075542.8959134,0.0,0.0111320001300896,0.0,0.0111320001300896,0.0,0.0111320001300896,1.0,0
1790075542.9959269,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075543.0946157,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075543.1942103,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075543.2932973,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075543.392338,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075543.4914975,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075543.5923414,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075543.696043,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075543.7958066,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075543.8942423,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075543.993423,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075544.0924647,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075544.191659,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075544.2982657,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075544.3988135,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075544.4974291,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075544.5966692,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075544.69674,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075544.797341,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075544.895197,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075544.997044,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075545.0987856,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075545.1967337,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075545.295196,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075545.3965664,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075545.4949915,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075545.5945573,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075545.6948388,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075545.794086,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075545.8955152,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075545.998199,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075546.0973036,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075546.198334,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075546.2951229,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075546.3984437,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075546.4966588,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075546.5982108,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075546.697477,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075546.796131,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075546.8975673,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075546.9970815,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075547.0962324,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075547.198054,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075547.297969,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075547.397993,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075547.4982228,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075547.5966558,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075547.694222,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075547.792703,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075547.8938112,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075547.9971187,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075548.093537,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075548.194031,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075548.295453,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075548.3963854,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075548.4968522,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075548.5970109,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075548.69899,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075548.7999892,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075548.8993306,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075548.9970694,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075549.0989308,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075549.1969771,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075549.2979405,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075549.3980453,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075549.4972372,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075549.5998485,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075549.6951883,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075549.795063,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075549.894787,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075549.9946682,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075550.0944672,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075550.195463,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075550.294913,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075550.3950708,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075550.500322,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075550.599929,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075550.697314,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075550.7955232,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075550.9000542,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075550.9982944,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075551.0962205,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075551.2008867,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075551.3021138,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075551.402981,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,-0.0090787309401871,0.0222640002601792,1.0,0
1790075551.501462,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075551.5987377,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075551.695367,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075551.794971,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075551.899203,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075551.9990385,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075552.097713,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075552.19883,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
1790075552.2981937,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,-0.0090787309401871,0.0111320001300896,1.0,0
