t,x_m,y_m
1790035432.094156,0.0,0.0
1790035432.097575,0.0,0.0
1790035432.1967552,0.0,0.0
1790035432.2959094,0.0,0.0
1790035432.395036,0.0,0.0
1790035432.4997177,0.0,0.0
1790035432.599198,0.0,0.0
1790035432.6981575,0.0,0.0
1790035432.7975323,0.0,0.0
1790035432.8974228,0.0,0.0
1790035432.9957087,0.0,0.0
1790035433.0974338,0.0,0.0
1790035433.1963477,0.0,0.0
1790035433.295617,0.0,0.0
1790035433.40024,0.0,0.0
1790035433.4995625,0.0,0.0
1790035433.598822,0.0,0.0
1790035433.6979833,0.0,0.0
1790035433.7988985,0.0,0.0
1790035433.898349,0.0,0.0
1790035433.996941,0.0,0.0
1790035434.0962863,0.0,0.0
1790035434.195239,0.0,0.0
1790035434.3000722,0.0,0.0
1790035434.3992906,0.0,0.0
1790035434.498427,0.0,0.0
1790035434.597648,0.0,0.0
1790035434.6968205,0.0,0.0
1790035434.796811,0.0,0.0
1790035434.8968103,0.0,0.0
1790035434.995073,0.0,0.0
1790035435.0999095,0.0,0.0
1790035435.198967,0.0,0.0
1790035435.2982757,0.0,0.0
1790035435.3974457,0.0,0.0
1790035435.496662,0.0,0.0
1790035435.5958047,0.0,0.0
1790035435.7004757,0.0,0.0
1790035435.7996793,0.0,0.0
1790035435.8988178,0.0,0.0
1790035435.9980938,0.0,0.0
1790035436.1002696,0.0,0.0
1790035436.19881,0.0,0.0
1790035436.2989078,0.0,0.0
1790035436.3982189,0.0,0.0
1790035436.4972358,0.0,0.0
1790035436.5979114,0.0,0.0
1790035436.6979997,0.0,0.0
1790035436.7971675,0.0,0.0
1790035436.8967648,0.0,0.0
1790035437.4121263,0.0,0.0
1790035437.4710712,0.0,0.0
1790035437.5142612,0.0,0.0
1790035437.6139705,0.0,0.0
1790035437.719277,0.0,0.0
1790035437.8173652,0.0,0.0
1790035437.9169855,0.0,0.0
1790035438.0156622,0.0,0.0
1790035438.1203945,0.0,0.0
1790035438.2216885,0.0,0.0
1790035438.318961,0.0,0.0
1790035438.4180987,0.0,0.0
1790035438.519134,0.0,0.0
1790035438.6165018,0.0,0.0
1790035438.723418,0.0,0.0
1790035438.8202856,0.0,0.0
1790035438.9194388,0.0,0.0
1790035439.018672,0.0,0.0
1790035439.1183703,0.0,0.0
1790035439.217516,0.0,0.0
1790035439.3161442,0.0,0.0
1790035439.4167411,0.0,0.0
1790035439.5161884,0.0,0.0
1790035439.6152108,0.0,0.0
1790035439.7183466,0.0,0.0
1790035439.8171802,0.0,0.0
1790035439.9175112,0.0,0.0
1790035440.0176177,0.0,0.0
1790035440.116914,0.0,0.0
1790035440.222621,0.0,0.0
1790035440.320607,0.0,0.0
1790035440.4198527,0.0,0.0
1790035440.5190804,0.0,0.0
1790035440.618221,0.0,0.0
1790035440.71728,0.0,0.0
1790035440.8165734,0.0,0.0
1790035440.9158146,0.0,0.0
1790035441.020607,0.0,0.0
1790035441.1197336,0.0,0.0
1790035441.2198308,0.0,0.0
1790035441.3179913,0.0,0.0
1790035441.4170575,0.0,0.0
1790035441.5163224,0.0,0.0
1790035441.6156054,0.0,0.0
1790035441.7168922,0.0,0.0
1790035441.8136752,0.0,0.0
1790035441.918444,0.0,0.0
1790035442.0182924,0.0,0.0
1790035442.116896,0.0,0.0
1790035442.2236192,0.0,0.0
1790035442.3208113,0.0,0.0
1790035442.4200358,0.0,0.0
1790035442.519305,0.0,0.0
1790035442.6192172,0.0,0.0
1790035442.72076,0.0,0.0
1790035442.81681,0.0,0.0
1790035442.9164846,0.0,0.0
1790035443.0205662,0.0,0.0
1790035443.1198409,0.0,0.0
1790035443.2208836,0.0,0.0
1790035443.3182745,0.0,0.0
1790035443.4183486,0.0,0.0
1790035443.5173008,0.0,0.0
1790035443.6165688,0.0,0.0
1790035443.7185524,0.0,0.0
1790035443.8147385,0.0,0.0
1790035443.9138982,0.0,0.0
1790035444.018556,0.0,0.0
1790035444.1179016,0.0,0.0
1790035444.218717,0.0,0.0
1790035444.3162367,0.0,0.0
1790035444.4162438,0.0,0.0
1790035444.516231,0.0,0.0
1790035444.620872,0.0,0.011132000130089637
1790035444.7221825,0.0,0.011132000130089637
1790035444.819357,0.0,0.011132000130089637
1790035444.918529,0.0,0.0222639994692031
1790035445.017691,0.0,0.0222639994692031
1790035445.1175437,0.0,0.0222639994692031
1790035445.2168546,0.0,0.0222639994692031
1790035445.3182924,0.0,0.0222639994692031
1790035445.4175503,0.0,0.0222639994692031
1790035445.5175052,0.0,0.0222639994692031
1790035445.6166725,0.0,0.0222639994692031
1790035445.7176409,0.0,0.0222639994692031
1790035445.8149724,0.0,0.0222639994692031
1790035445.9143035,0.0,0.0222639994692031
1790035446.0189755,0.0,0.0222639994692031
1790035446.1182091,0.0,0.0222639994692031
1790035446.2172878,0.0,0.0222639994692031
1790035446.316342,0.0,0.0222639994692031
1790035446.4205124,0.0,0.0222639994692031
1790035446.5188646,0.0,0.0222639994692031
1790035446.6180463,0.0,0.0222639994692031
1790035446.718285,0.0,0.0222639994692031
1790035446.8164532,0.0,0.0222639994692031
1790035446.9210515,0.0,0.0222639994692031
1790035447.020259,0.0,0.0222639994692031
1790035447.1195908,0.0,0.0222639994692031
1790035447.220693,0.0,0.0222639994692031
1790035447.3186302,0.0,0.0222639994692031
1790035447.4177935,0.0,0.0222639994692031
1790035447.5179682,0.0,0.0222639994692031
1790035447.6169012,0.0,0.0222639994692031
1790035447.7176757,0.0,0.0222639994692031
1790035447.8151848,0.0,0.0222639994692031
1790035447.914352,0.0,0.0222639994692031
1790035448.019134,0.0,0.0222639994692031
1790035448.1182508,0.0,0.0222639994692031
1790035448.2190535,0.0,0.0222639994692031
1790035448.3166826,0.0,0.0222639994692031
1790035448.415912,0.0,0.0222639994692031
1790035448.5207107,0.0,0.0222639994692031
1790035448.6198175,0.0,0.0222639994692031
1790035448.7207882,0.0,0.0222639994692031
1790035448.8199284,0.0,0.0222639994692031
1790035448.9207928,0.0,0.0222639994692031
1790035449.016849,0.0,0.0222639994692031
1790035449.1212542,0.0,0.0222639994692031
1790035449.2243602,0.0,0.0222639994692031
1790035449.3197365,0.0,0.0222639994692031
1790035449.4187577,0.0,0.0222639994692031
1790035449.5180929,0.0,0.011132000130089637
1790035449.6171093,0.0,0.011132000130089637
1790035449.7169156,0.0,0.011132000130089637
1790035449.8154223,0.0,0.011132000130089637
1790035449.914694,0.0,0.011132000130089637
1790035450.019237,0.0,0.011132000130089637
1790035450.118531,0.0,0.011132000130089637
1790035450.219555,0.0,0.011132000130089637
1790035450.316818,0.0,0.011132000130089637
1790035450.4160786,0.0,0.011132000130089637
1790035450.520965,0.0,0.011132000130089637
1790035450.6200423,0.0,0.0
1790035450.7198536,0.0,0.0
1790035450.8183537,0.0,0.0
1790035450.9175687,0.0,0.0
1790035451.0166605,0.0,0.0
1790035451.1214786,0.0,0.0
1790035451.222238,0.0,0.0
1790035451.3198595,0.0,0.0
1790035451.419792,0.0,0.0
1790035451.5189395,0.0,0.0
1790035451.6180923,0.0,0.0
1790035451.718234,0.0,0.0
1790035451.81644,0.0,0.0
1790035451.915522,0.0,0.0
1790035452.382207,0.0,0.0
1790035452.3851535,0.0,0.0
1790035452.4827263,0.0,0.0
1790035452.5821662,0.0,0.0
1790035452.6874516,0.0,0.0
1790035452.786378,0.0,0.0
1790035452.8859673,0.0,0.0
1790035452.9847753,0.0,0.0
1790035453.0837944,0.0,0.0
1790035453.1830504,0.0,0.0
1790035453.2877836,0.0,0.0
1790035453.3868115,0.0,0.0
1790035453.485592,0.0,0.0
1790035453.5850716,0.0,0.011132000130089637
1790035453.6842215,0.0,0.011132000130089637
1790035453.783722,0.0,0.011132000130089637
1790035453.8835387,0.0,0.011132000130089637
1790035453.98482,0.0,0.011132000130089637
1790035454.0830014,0.0,0.011132000130089637
1790035454.1825948,0.0,0.011132000130089637
1790035454.282477,0.0,0.011132000130089637
1790035454.38287,0.0,0.011132000130089637
1790035454.4814577,0.0,0.011132000130089637
1790035454.5807884,0.0,0.011132000130089637
1790035454.685797,0.0,0.011132000130089637
1790035454.7848327,0.0,0.011132000130089637
1790035454.8844328,0.0,0.011132000130089637
1790035454.9831903,0.0,0.011132000130089637
1790035455.0879898,0.0,0.011132000130089637
1790035455.187153,0.0,0.0222639994692031
1790035455.286306,0.0,0.0222639994692031
1790035455.385923,0.0,0.0222639994692031
1790035455.4847991,0.0,0.0222639994692031
1790035455.5835712,0.0,0.0222639994692031
1790035455.682892,0.0,0.0222639994692031
1790035455.7873132,0.0,0.0222639994692031
1790035455.881297,0.0,0.0222639994692031
1790035455.98568,0.0,0.0222639994692031
1790035456.0855875,0.0,0.0222639994692031
1790035456.1850698,0.0,0.0222639994692031
1790035456.284138,0.0,0.0222639994692031
1790035456.3830495,0.0,0.0222639994692031
1790035456.482343,0.0,0.0222639994692031
1790035456.581572,0.0,0.0222639994692031
1790035456.681585,0.0,0.0222639994692031
1790035456.7863593,0.0,0.0222639994692031
1790035456.885738,0.0,0.0222639994692031
1790035456.9851,0.0,0.0222639994692031
1790035457.084223,0.0,0.0222639994692031
1790035457.1886604,0.0,0.0222639994692031
1790035457.2871697,0.0,0.0222639994692031
1790035457.3863015,0.0,0.0222639994692031
1790035457.4852412,0.0,0.0222639994692031
1790035457.585118,0.0,0.0222639994692031
1790035457.6837063,0.0,0.0222639994692031
1790035457.7830138,0.0,0.0222639994692031
1790035457.8872857,0.0,0.0222639994692031
1790035457.9811296,0.0,0.0222639994692031
1790035458.0861852,0.0,0.0222639994692031
1790035458.185109,0.0,0.0222639994692031
1790035458.2844026,0.0,0.0222639994692031
1790035458.383571,0.0,0.0222639994692031
1790035458.4829676,0.0,0.0222639994692031
1790035458.5823448,0.0,0.0222639994692031
