t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed
1790036956.394227,0.0,0.0,0.0,0.0,0
1790036956.4607277,0.0,0.0,0.0,0.0,0
1790036956.4904716,0.0,0.0,0.0,0.0,0
1790036956.5914848,0.0,0.0,0.0,0.0,0
1790036956.713538,0.0,0.0,0.0,0.0,0
1790036956.7919972,0.0,0.0,0.0,0.0,0
1790036956.891956,0.0,0.0,0.0,0.0,0
1790036956.991926,0.0,0.0,0.0,0.0,0
1790036957.0924954,0.0,0.0,0.0,0.0,0
1790036957.2104464,0.0,0.0,0.0,0.0,0
1790036957.2933333,0.0,0.0,0.0,0.0,0
1790036957.394943,0.0,0.0,0.0,0.0,0
1790036957.492147,0.0,0.0,0.0,0.0,0
1790036957.5919197,0.0,0.0,0.0,0.0,0
1790036957.7099698,0.0,0.0,0.0,0.0,0
1790036957.7948585,0.0,0.0,0.0,0.0,0
1790036957.8929834,0.0,0.0,0.0,0.0,0
1790036957.9949372,0.0,0.0,0.0,0.0,0
1790036958.091262,0.0,0.0,0.0,0.0,0
1790036958.2156136,0.0,0.0,0.0,0.0,0
1790036958.2933168,0.0,0.0,0.0,0.0,0
1790036958.3949249,0.0,0.0,0.0,0.0,0
1790036958.494763,0.0,0.0,0.0,0.0,0
1790036958.5908165,0.0,0.0,0.0,0.0,0
1790036958.710389,0.0,0.0,0.0,0.0,0
1790036958.7926562,0.0,0.0,0.0,0.0,0
1790036958.8932028,0.0,0.0,0.0,0.0,0
1790036958.9940035,0.0,0.0,0.0,0.0,0
1790036959.0943322,0.0,0.0,0.0,0.0,0
1790036959.2099154,0.0,0.0,0.0,0.0,0
1790036959.2956622,0.0,0.0,0.0,0.0,0
1790036959.3967922,0.0,0.0,0.0,0.0,0
1790036959.497151,0.0,0.0,0.0,0.0,0
1790036959.591678,0.0,0.0,0.0,0.0,0
1790036959.7087996,0.0,0.0,0.0,0.0,0
1790036959.7943013,0.0,0.0,0.0,0.0,0
1790036959.8944411,0.0,0.0,0.0,0.0,0
1790036959.9953408,0.0,0.0,0.0,0.0,0
1790036960.0965295,0.0,0.0,0.0,0.0,0
1790036960.2119193,0.0,0.0,0.0,0.0,0
1790036960.2932694,0.0,0.0,0.0,0.0,0
1790036960.3941646,0.0,0.0,0.0,0.0,0
1790036960.4960575,0.0,0.0,0.0,0.0,0
1790036960.595925,0.0,0.0,0.0,0.0,0
1790036960.7081232,0.0,0.0,0.0,0.0,0
1790036960.7963665,0.0,0.0,0.0,0.0,0
1790036960.895163,0.0,0.0,0.0,0.0,0
1790036960.9964905,0.0,0.0,0.0,0.0,0
1790036961.0949907,0.0,0.0,0.0,0.0,0
1790036961.1953812,0.0,0.0,0.0,0.0,0
1790036961.2939782,0.0,0.0,0.0,0.0,0
1790036961.3957975,0.0,0.0,0.0,0.0,0
1790036961.492133,0.0,0.0,0.0,0.0,0
1790036961.5934494,0.0,0.0,0.0,0.0,0
1790036961.7092938,0.0,0.0,0.0,0.0,0
1790036961.7935505,0.0,0.0,0.0,0.0,0
1790036961.8944063,0.0,0.0,0.0,0.0,0
1790036961.9949343,0.0,0.0,0.0,0.0,0
1790036962.091872,0.0,0.0,0.0,0.0,0
1790036962.211511,0.0,0.0,0.0,0.0,0
1790036962.294435,0.0,0.0,0.0,0.0,0
1790036962.3967936,0.0,0.0,0.0,0.0,0
1790036962.4935849,0.0,0.0,0.0,0.0,0
1790036962.5943053,0.0,0.0,0.0,0.0,0
1790036962.7173867,0.0,0.0,0.0,0.0,0
1790036962.7971845,0.0,0.0,0.0,0.0,0
1790036962.891915,0.0,0.0,0.0,0.0,0
1790036962.9943244,0.0,0.0,0.0,0.0,0
1790036963.0942743,0.0,0.0,0.0,0.0,0
1790036963.2173324,0.0,0.0,0.0,0.0,0
1790036963.2941537,0.0,0.0,0.0,0.0,0
1790036963.396067,0.0,0.0,0.0,0.0,0
1790036963.4935963,0.0,0.0,0.0,0.0,0
1790036963.593318,0.0,0.0,0.0,0.0,0
1790036963.709317,0.0,0.0,0.0,0.0,0
1790036963.7942154,0.0,0.0,0.0,0.0,0
1790036963.8935375,0.0,0.0,0.0,0.0,0
1790036963.9964533,0.0,0.0,0.0,0.0,0
1790036964.0960958,0.0,0.0,0.0,0.0,0
1790036964.2078855,0.0,0.0,0.0,0.0,0
1790036964.2973614,0.0,0.0,0.0,0.0,0
1790036964.3940983,0.0,0.0,0.0,0.0,0
1790036964.496596,0.0,0.0,0.0,0.0,0
1790036964.5927813,0.0,0.0,0.0,0.0,0
1790036964.7129958,0.0,0.0,0.0,0.0,0
1790036964.7926545,0.0,0.0,0.0,0.0,0
1790036964.8946328,0.0,0.0,0.0,0.0,0
1790036964.99696,0.0,0.0,0.0,0.0,0
1790036965.0921743,0.0,0.0,0.0,0.0,0
1790036965.2124612,0.0,0.0,0.0,0.0,0
1790036965.2921526,0.0,0.0,0.0,0.0,0
