t,x_m,y_m
1790036742.3840103,0.0,0.0
1790036742.4217718,0.0,0.0
1790036742.4844568,0.0,0.0
1790036742.585921,0.0,0.0
1790036742.6836655,0.0,0.0
1790036742.784377,0.0,0.0
1790036742.884867,0.0,0.0
1790036742.9857032,0.0,0.0
1790036743.08598,0.0,0.0
1790036743.184645,0.0,0.0
1790036743.2836072,0.0,0.0
1790036743.3848064,0.0,0.0
1790036743.484881,0.0,0.0
1790036743.5849297,0.0,0.0
1790036743.6866534,0.0,0.0
1790036743.7866054,0.0,0.0
1790036743.8855195,0.0,0.0
1790036743.9834328,0.0,0.0
1790036744.0852604,0.0,0.0
1790036744.185425,0.0,0.0
1790036744.2843423,0.0,0.0
1790036744.3834682,0.0,0.0
1790036744.4845028,0.0,0.0
1790036744.585524,0.0,0.0
1790036744.6861567,0.0,0.0
1790036744.7867875,0.0,0.0
1790036744.8848252,0.0,0.0
1790036744.985351,0.0,0.0
1790036745.085923,0.0,0.0
1790036745.1866136,0.0,0.0
1790036745.286964,0.0,0.0
1790036745.383668,0.0,0.0
1790036745.4849122,0.0,0.0
1790036745.5846205,0.0,0.0
1790036745.686428,0.0,0.0
1790036745.7832742,0.0,0.0
1790036745.8850875,0.0,0.0
1790036745.985044,0.0,0.0
1790036746.0869613,0.0,0.0
1790036746.185364,0.0,0.0
1790036746.2882087,0.0,0.0
1790036746.3847368,0.0,0.0
1790036746.4838488,0.0,0.0
1790036746.5844593,0.0,0.0
1790036746.6851702,0.0,0.0
1790036746.7856567,0.0,0.0
1790036746.884766,0.0,0.0
1790036746.9849591,0.0,0.0
1790036747.0850506,0.0,0.0
1790036747.187375,0.0,0.0
1790036747.2873132,0.0,0.0
1790036747.387328,0.0,0.0
1790036747.4873724,0.0,0.0
1790036747.5854435,0.0,0.0
1790036747.6867473,0.0,0.0
1790036747.7851732,0.0,0.0
1790036747.8862395,0.0,0.0
1790036747.9871044,0.0,0.0
1790036748.0878346,0.0,0.0
1790036748.186807,0.0,0.0
1790036748.2868614,0.0,0.0
1790036748.3873923,0.0,0.0
1790036748.4859078,0.0,0.0
1790036748.585514,0.0,0.0
1790036748.6879406,0.0,0.0
1790036748.787681,0.0,0.0
1790036748.887458,0.0,0.0
1790036748.9875808,0.0,0.0
1790036749.0885806,0.0,0.0
1790036749.1864696,0.0,0.0
1790036749.286175,0.0,0.0
1790036749.3852494,0.0,0.0
1790036749.4868622,0.0,0.0
1790036749.5879178,0.0,0.0
1790036749.6861703,0.0,0.0
1790036749.785779,0.0,0.0
1790036749.8864214,0.0,0.0
1790036749.9871693,0.0,0.0
1790036750.087478,0.0,0.0
1790036750.185427,0.0,0.0
1790036750.2851863,0.0,0.0
1790036750.386256,0.0,0.0
1790036750.485649,0.0,0.0
1790036750.5863168,0.0,0.0
1790036750.6899145,0.0,0.0
1790036750.7869349,0.0,0.0
1790036750.8869214,0.0,0.0
1790036750.9869504,0.0,0.0
1790036751.0884995,0.0,0.0
1790036751.1863992,0.0,0.0
1790036751.2871802,0.0,0.0
1790036751.38928,0.0,0.0
1790036751.487667,0.0,0.0
1790036751.5855196,0.0,0.0
1790036751.686204,0.0,0.0
1790036751.787115,0.0,0.0
1790036751.8880672,0.0,0.0
1790036751.98845,0.0,0.0
1790036752.0863297,0.0,0.0
1790036752.1869328,0.0,0.0
1790036752.2859,0.0,0.0
1790036752.3872857,0.0,0.0
1790036752.4875748,0.0,0.0
1790036752.5883317,0.0,0.0
1790036752.6859484,0.0,0.0
1790036752.786235,0.0,0.0
1790036752.885172,0.0,0.0
1790036752.9857075,0.0,0.0
1790036753.0894916,0.0,0.0
1790036753.1890223,0.0,0.0
1790036753.2884252,0.0,0.0
1790036753.3873513,0.0,0.0
1790036753.4851048,0.0,0.0
1790036753.5862,0.0,0.0
1790036753.686864,0.0,0.0
1790036753.7880642,0.0,0.0
1790036753.886722,0.0,0.0
1790036753.9865716,0.0,0.0
1790036754.0866494,0.0,0.0
1790036754.1872811,0.0,0.0
1790036754.2876167,0.0,0.0
1790036754.3872306,0.0,0.0
1790036754.486354,0.0,0.0
1790036754.5866716,0.0,0.0
1790036754.6884022,0.0,0.0
1790036754.7877357,0.0,0.0
1790036754.8876898,0.0,0.011132000130089637
1790036754.9888575,0.0,0.011132000130089637
1790036755.0881257,0.0,0.011132000130089637
1790036755.1864412,0.0,0.011132000130089637
1790036755.287073,0.0,0.011132000130089637
1790036755.3886497,0.0,0.011132000130089637
1790036755.487883,0.0,0.011132000130089637
1790036755.5863092,0.0,0.022264000260179273
1790036755.6876192,0.0,0.022264000260179273
1790036755.7876265,0.0,0.022264000260179273
1790036755.8875527,0.0,0.022264000260179273
1790036755.9869566,0.0,0.022264000260179273
1790036756.0875576,0.0,0.022264000260179273
1790036756.187178,0.0,0.022264000260179273
1790036756.2872124,0.0,0.022264000260179273
1790036756.3876345,0.0,0.022264000260179273
1790036756.4867356,0.0,0.022264000260179273
1790036756.6566055,0.0,0.022264000260179273
1790036757.082485,0.0,0.022264000260179273
1790036757.0941992,0.0,0.022264000260179273
1790036757.185306,0.0,0.022264000260179273
1790036757.2883856,0.0,0.022264000260179273
1790036757.3861692,0.0,0.022264000260179273
1790036757.4869618,0.0,0.022264000260179273
1790036757.5875404,0.0,0.022264000260179273
1790036757.689096,0.0,0.022264000260179273
1790036757.7899976,0.0,0.022264000260179273
1790036757.8852503,0.0,0.022264000260179273
1790036757.9865484,0.0,0.022264000260179273
1790036758.0891654,0.0,0.022264000260179273
1790036758.1851952,0.0,0.022264000260179273
1790036758.2859538,0.0,0.022264000260179273
1790036758.3853269,0.0,0.022264000260179273
1790036758.4876995,0.0,0.022264000260179273
1790036758.5866344,0.0,0.022264000260179273
1790036758.6853917,0.0,0.022264000260179273
1790036758.785861,0.0,0.022264000260179273
1790036758.888005,0.0,0.022264000260179273
1790036758.9858704,0.0,0.022264000260179273
1790036759.0863347,0.0,0.022264000260179273
1790036759.1858609,0.0,0.022264000260179273
1790036759.2852173,0.0,0.022264000260179273
1790036759.3893914,0.0,0.022264000260179273
1790036759.4866338,0.0,0.022264000260179273
1790036759.5877233,0.0,0.022264000260179273
1790036759.689603,0.0,0.022264000260179273
1790036759.7853308,0.0,0.022264000260179273
1790036759.885091,0.0,0.022264000260179273
1790036759.9850798,0.0,0.022264000260179273
1790036760.091226,0.0,0.022264000260179273
1790036760.18564,0.0,0.022264000260179273
1790036760.2878156,0.0,0.022264000260179273
1790036760.3864405,0.0,0.022264000260179273
1790036760.489786,0.0,0.022264000260179273
1790036760.5899725,0.0,0.022264000260179273
1790036760.6843822,0.0,0.022264000260179273
1790036760.7878065,0.0,0.022264000260179273
1790036760.8899722,0.0,0.022264000260179273
1790036760.9892323,0.0,0.022264000260179273
1790036761.0852082,0.0,0.022264000260179273
1790036761.1855254,0.0,0.022264000260179273
1790036761.2881916,0.0,0.022264000260179273
1790036761.3875334,0.0,0.022264000260179273
1790036761.4866242,0.0,0.022264000260179273
1790036761.5878582,0.0,0.022264000260179273
1790036761.6897862,0.0,0.022264000260179273
1790036761.7901716,0.0,0.022264000260179273
1790036761.8856392,0.0,0.022264000260179273
1790036761.9858117,0.0,0.022264000260179273
1790036762.0872142,0.0,0.022264000260179273
1790036762.1859438,0.0,0.022264000260179273
1790036762.2888937,0.0,0.022264000260179273
1790036762.3899367,0.0,0.022264000260179273
1790036762.4886928,0.0,0.022264000260179273
1790036762.5891428,0.0,0.022264000260179273
1790036762.6890037,0.0,0.022264000260179273
1790036762.7904952,0.0,0.022264000260179273
1790036762.8862736,0.0,0.022264000260179273
1790036762.9874866,0.0,0.022264000260179273
1790036763.089465,0.0,0.022264000260179273
1790036763.1884973,0.0,0.022264000260179273
1790036763.2925086,0.0,0.022264000260179273
1790036763.3858914,0.0,0.022264000260179273
1790036763.4881294,0.0,0.022264000260179273
1790036763.5894337,0.0,0.022264000260179273
1790036763.6907902,0.0,0.022264000260179273
1790036763.791085,0.0,0.022264000260179273
1790036763.890608,0.0,0.022264000260179273
1790036763.9863284,0.0,0.022264000260179273
1790036764.0892043,0.0,0.022264000260179273
1790036764.1863518,0.0,0.022264000260179273
1790036764.290024,0.0,0.022264000260179273
1790036764.390667,0.0,0.022264000260179273
1790036764.4857235,0.0,0.022264000260179273
1790036764.5864372,0.0,0.022264000260179273
1790036764.685953,0.0,0.022264000260179273
1790036764.7875583,0.0,0.022264000260179273
1790036764.8864665,0.0,0.022264000260179273
1790036764.986977,0.0,0.022264000260179273
1790036765.0866215,0.0,0.022264000260179273
1790036765.1865823,0.0,0.022264000260179273
1790036765.2877238,0.0,0.022264000260179273
1790036765.3859158,0.0,0.022264000260179273
1790036765.4916432,0.0,0.022264000260179273
1790036765.5906763,0.0,0.022264000260179273
1790036765.6896262,0.0,0.022264000260179273
1790036765.789779,0.0,0.022264000260179273
1790036765.8912022,0.0,0.022264000260179273
1790036765.9873848,0.0,0.022264000260179273
1790036766.0884492,0.0,0.022264000260179273
1790036766.1915002,0.0,0.022264000260179273
1790036766.2913969,0.0,0.022264000260179273
1790036766.3864582,0.0,0.022264000260179273
1790036766.4873812,0.0,0.022264000260179273
1790036766.5899477,0.0,0.022264000260179273
1790036766.6895633,0.0,0.022264000260179273
1790036766.7914486,0.0,0.022264000260179273
1790036766.887129,0.0,0.022264000260179273
1790036766.9876115,0.0,0.022264000260179273
1790036767.0888965,0.0,0.022264000260179273
1790036767.1872942,0.0,0.022264000260179273
1790036767.2889352,0.0,0.022264000260179273
1790036767.388617,0.0,0.022264000260179273
1790036767.4902923,0.0,0.022264000260179273
1790036767.591346,0.0,0.022264000260179273
1790036767.6866772,0.0,0.022264000260179273
1790036767.786658,0.0,0.022264000260179273
1790036767.8884978,0.0,0.022264000260179273
1790036767.988123,0.0,0.022264000260179273
1790036768.0905535,0.0,0.022264000260179273
1790036768.191384,0.0,0.022264000260179273
1790036768.287822,0.0,0.022264000260179273
1790036768.3873796,0.0,0.022264000260179273
1790036768.4871798,0.0,0.022264000260179273
1790036768.5878825,0.0,0.022264000260179273
1790036768.69231,0.0,0.022264000260179273
1790036768.7897892,0.0,0.022264000260179273
1790036768.8870423,0.0,0.022264000260179273
1790036768.9887166,0.0,0.022264000260179273
1790036769.090363,0.0,0.022264000260179273
1790036769.1896658,0.0,0.022264000260179273
1790036769.2901752,0.0,0.022264000260179273
1790036769.3901882,0.0,0.022264000260179273
1790036769.4912636,0.0,0.022264000260179273
1790036769.5911057,0.0,0.022264000260179273
1790036769.6921058,0.0,0.022264000260179273
1790036769.792389,0.0,0.022264000260179273
1790036769.8907278,0.0,0.022264000260179273
1790036769.9889936,0.0,0.022264000260179273
